"Scene","Start","End","Duration","Narration file","Visual file","On-screen text","Narration","Notes"
"01","00:00:00.000","00:00:07.940","7.94s","02_audio/per-scene/01_scene_hook.wav","03_scenes/01_scene_hook.png","Do you know how we run our | SALARY CYCLE | today? | Let's start with how it works right now","Do you know how we currently run our salary cycle? Let's start with how it works today.","Oversized question over a faint year ring. SALARY CYCLE lit in the accent, on a plinth, with the sub-line beneath."
"02","00:00:07.940","00:00:15.540","7.60s","02_audio/per-scene/02_scene_old-cycle.wav","03_scenes/02_scene_old-cycle.png","CURRENT SALARY CYCLE | JANUARY | DECEMBER | 12 MONTHS  ·  ONE CYCLE","Today, our cycle runs from January to December. 12 months, one cycle.","Year ring on the left counting twelve months, range plate and month rail on the right, JAN to DEC, playhead walking the year. The bottom timeline draws in here and runs for the next four scenes."
"03","00:00:15.540","00:00:38.190","22.65s","02_audio/per-scene/03_scene_today.wav","03_scenes/03_scene_today.png","HOW IT WORKS TODAY | MERIT | Expected Market Movement | BONUS | Estimated Company Performance KPIs | HSE | FINANCE | PERFORMANCE | COMPANY PERFORMANCE KPIs","For merit, we rely on expected market movement, based on projected market and inflation trends. The salary market data becomes available around November. For bonus, we use estimated Company Performance KPIs, based on the information available by December.","MERIT card with the forecast line, then the BONUS heading and the three KPI tiles (HSE, Finance, Performance) rolling up into COMPANY PERFORMANCE KPIs. The bottom timeline picks up the NOVEMBER and DECEMBER markers."
"04","00:00:38.190","00:00:44.920","6.73s","02_audio/per-scene/04_scene_the-change.wav","03_scenes/04_scene_the-change.png","OLD SALARY CYCLE | NEW SALARY CYCLE | JAN → DEC | APR → MAR","Now, we're moving to a new cycle. From April, to March.","The hero moment. The ring spins three turns and lands on April while OLD drops away and NEW rises. Underneath, the same twelve months re-align from JAN-DEC into APR-MAR - months with far to travel lift over the ones that barely move."
"05","00:00:44.920","00:01:08.490","23.57s","02_audio/per-scene/05_scene_actual-data.wav","03_scenes/05_scene_actual-data.png","WHAT THE NEW TIMING GIVES US | ACTUAL COMPANY PERFORMANCE | ACTUAL MARKET MOVEMENT | TODAY | NOV | DEC | ESTIMATED | NEW CYCLE | JAN | FEB | ACTUAL","That shift also changes when the information arrives. By January, actual Company Performance is available. And by February, actual market movement is available. This brings the salary cycle closer to market best practice, so decisions rest on more relevant, actual information.","Forecast chart resolving from a projection into a measurement, two ticked claims beside it, and the small old-against-new timing comparison. The bottom timeline picks up JANUARY and FEBRUARY, now actual rather than estimated."
"06","00:01:08.490","00:01:17.600","9.11s","02_audio/per-scene/06_scene_april.wav","03_scenes/06_scene_april.png","APRIL | MERIT | PROMOTION | EFFECTIVE APRIL 1 | START OF THE NEW SALARY CYCLE","Merit increases and promotions will take effect on April 1. That's where the cycle now begins.","APRIL at full size with MERIT and PROMOTION icons rising, and the EFFECTIVE APRIL 1 pill. The bottom timeline picks up the APRIL marker."
"07","00:01:17.600","00:01:25.650","8.05s","02_audio/per-scene/07_scene_march.wav","03_scenes/07_scene_march.png","MARCH | BONUS | MARCH PAYROLL | END OF THE NEW SALARY CYCLE","And your bonus will be paid in the March payroll. March is the last month of the cycle.","Month rail running the new salary year and landing on MARCH, with the bonus icon and the MARCH PAYROLL chip. The bottom timeline picks up the MARCH marker, then retires."
"08","00:01:25.650","00:01:36.270","10.62s","02_audio/per-scene/08_scene_no-change.wav","03_scenes/08_scene_no-change.png","PERFORMANCE APPRAISAL | JAN → DEC | NO CHANGE | SALARY CYCLE | APR → MAR | NEW","Now, one thing that isn't changing. Your performance appraisal stays on the same schedule, and it'll still close in December.","Two parallel rows: PERFORMANCE APPRAISAL JAN-DEC with a tick and NO CHANGE, against SALARY CYCLE APR-MAR marked NEW."
"09","00:01:36.270","00:02:15.140","38.87s","02_audio/per-scene/09_scene_example.wav","03_scenes/09_scene_example.png","IMPLEMENTATION YEAR ONLY | HAPPENS ONCE · NOT EVERY YEAR | 12 MONTHS | + 3 MONTHS | MONTH 13 | MONTH 14 | MONTH 15 | OVER 12 MONTHS | OVER 15 MONTHS | ILLUSTRATIVE EXAMPLE | THE MERIT PERCENTAGE HAS NOT CHANGED — ONLY THE MONTHS IT COVERS | 5% | ÷ 12 | 0.4167% | PER MONTH | × 15 | 6.25%","There's one more thing, and it happens only once. During the implementation year only, the merit calculation will cover 15 months instead of 12. As an illustrative example, if your merit increase is 5%, that's 5% divided by 12, which is 0.4167% a month. Multiply that by 15 months, and the equivalent becomes 6.25%. The merit percentage itself hasn't changed - only the number of months it covers.","IMPLEMENTATION YEAR ONLY with the happens-once chip. Twelve solid month tiles plus three dashed ones numbered MONTH 13/14/15. Below, the ILLUSTRATIVE EXAMPLE card builds 5% divided by 12 times 15 term by term, then strikes the 5% through and resolves it into 6.25%, each labelled with the period it covers."
"10","00:02:15.140","00:02:20.860","5.72s","02_audio/per-scene/10_scene_summary.wav","03_scenes/10_scene_summary.png","NEW SALARY CYCLE | APRIL | MARCH","So - April to March. That's the one to remember.","APRIL to MARCH over three markers - the frame to remember."
"11","00:02:20.860","00:02:28.350","7.49s","02_audio/per-scene/11_scene_close.wav","03_scenes/11_scene_close.png","HAVE QUESTIONS? | PLEASE CONTACT YOUR HR PERSONNEL FOR SUPPORT","Have questions? Please contact your HR personnel for support.","HAVE QUESTIONS? over the contact line, the HR placeholders and the company logo slot."
