"Scene","Line","Start","End","Duration","Audio file","Still","Narration"
"01","1","00:00:00.360","00:00:04.012","3.65s","02_audio/per-line/01_scene_line1_s1-l1.wav","03_scenes/states/01_scene_state1_s1-l1.png","Do you know how we currently run our salary cycle?"
"01","2","00:00:04.820","00:00:07.220","2.40s","02_audio/per-line/01_scene_line2_s1-l2.wav","03_scenes/states/01_scene_state2_s1-l2.png","Let's start with how it works today."
"02","1","00:00:08.250","00:00:11.716","3.47s","02_audio/per-line/02_scene_line1_s2-l1.wav","03_scenes/states/02_scene_state1_s2-l1.png","Today, our cycle runs from January to December."
"02","2","00:00:12.420","00:00:14.771","2.35s","02_audio/per-line/02_scene_line2_s2-l2.wav","03_scenes/states/02_scene_state2_s2-l2.png","12 months, one cycle."
"03","1","00:00:15.900","00:00:19.334","3.43s","02_audio/per-line/03_scene_line1_s3-l1.wav","03_scenes/states/03_scene_state1_s3-l1.png","For merit, we rely on expected market movement,"
"03","2","00:00:19.560","00:00:23.278","3.72s","02_audio/per-line/03_scene_line2_s3-l2.wav","03_scenes/states/03_scene_state2_s3-l2.png","based on projected market and inflation trends."
"03","3","00:00:24.100","00:00:28.157","4.06s","02_audio/per-line/03_scene_line3_s3-l3.wav","03_scenes/states/03_scene_state3_s3-l3.png","The salary market data becomes available around November."
"03","4","00:00:29.070","00:00:33.614","4.54s","02_audio/per-line/03_scene_line4_s3-l4.wav","03_scenes/states/03_scene_state4_s3-l4.png","For bonus, we use estimated Company Performance KPIs,"
"03","5","00:00:33.880","00:00:37.337","3.46s","02_audio/per-line/03_scene_line5_s3-l5.wav","03_scenes/states/03_scene_state5_s3-l5.png","based on the information available by December."
"04","1","00:00:38.500","00:00:40.901","2.40s","02_audio/per-line/04_scene_line1_s4-l1.wav","03_scenes/states/04_scene_state1_s4-l1.png","Now, we're moving to a new cycle."
"04","2","00:00:41.830","00:00:44.098","2.27s","02_audio/per-line/04_scene_line2_s4-l2.wav","03_scenes/states/04_scene_state2_s4-l2.png","From April, to March."
"05","1","00:00:45.230","00:00:49.407","4.18s","02_audio/per-line/05_scene_line1_s5-l1.wav","03_scenes/states/05_scene_state1_s5-l1.png","That shift also changes when the information arrives."
"05","2","00:00:50.130","00:00:53.923","3.79s","02_audio/per-line/05_scene_line2_s5-l2.wav","03_scenes/states/05_scene_state2_s5-l2.png","By January, actual Company Performance is available."
